1679850155743,1679850155811,1679850155865,1679850155879,68,122,136
1679850156279,1679850156351,1679850156405,1679850156420,72,126,141
1679850156820,1679850156893,1679850156947,1679850156961,73,127,141
1679850157369,1679850157441,1679850157496,1679850157509,72,127,140
1679850157905,1679850157977,1679850158032,1679850158047,72,127,142
1679850158442,1679850158510,1679850158563,1679850158580,68,121,138
1679850158977,1679850159049,1679850159104,1679850159117,72,127,140
1679850159522,1679850159594,1679850159648,1679850159662,72,126,140
1679850160065,1679850160137,1679850160190,1679850160204,72,125,139
1679850160602,1679850160679,1679850160734,1679850160750,77,132,148
1679850161148,1679850161221,1679850161274,1679850161288,73,126,140
1679850161685,1679850161758,1679850161812,1679850161825,73,127,140
1679850162234,1679850162307,1679850162361,1679850162375,73,127,141
1679850162776,1679850162850,1679850162903,1679850162914,74,127,138
1679850163316,1679850163388,1679850163441,1679850163457,72,125,141
1679850163859,1679850163931,1679850163984,1679850163998,72,125,139
1679850164399,1679850164472,1679850164525,1679850164540,73,126,141
1679850164947,1679850165019,1679850165074,1679850165087,72,127,140
1679850165497,1679850165569,1679850165622,1679850165636,72,125,139
1679850166034,1679850166106,1679850166160,1679850166175,72,126,141
1679850166578,1679850166651,1679850166704,1679850166720,73,126,142
1679850167122,1679850167195,1679850167249,1679850167263,73,127,141
1679850167666,1679850167739,1679850167792,1679850167807,73,126,141
1679850168208,1679850168279,1679850168334,1679850168348,71,126,140
1679850168748,1679850168821,1679850168874,1679850168889,73,126,141
1679850169290,1679850169363,1679850169417,1679850169432,73,127,142
1679850169830,1679850169902,1679850169955,1679850169971,72,125,141
1679850170369,1679850170441,1679850170494,1679850170508,72,125,139
1679850170907,1679850170979,1679850171034,1679850171047,72,127,140
1679850171454,1679850171528,1679850171582,1679850171597,74,128,143
1679850172000,1679850172073,1679850172127,1679850172142,73,127,142
1679850172543,1679850172618,1679850172672,1679850172688,75,129,145
1679850173093,1679850173164,1679850173220,1679850173234,71,127,141
1679850173638,1679850173713,1679850173767,1679850173783,75,129,145
1679850174184,1679850174258,1679850174312,1679850174327,74,128,143
1679850174723,1679850174796,1679850174850,1679850174863,73,127,140
